District: Descending,Count,Arrest: Descending,Count,Domestic: Descending,Count
11,"19,489",FALSE,"10,526",FALSE,"7,852"
11,"19,489",FALSE,"10,526",TRUE,"2,674"
11,"19,489",TRUE,"8,963",FALSE,"8,367"
11,"19,489",TRUE,"8,963",TRUE,596
8,"17,284",FALSE,"13,179",FALSE,"10,932"
8,"17,284",FALSE,"13,179",TRUE,"2,247"
8,"17,284",TRUE,"4,105",FALSE,"3,582"
8,"17,284",TRUE,"4,105",TRUE,523
6,"16,008",FALSE,"11,547",FALSE,"8,835"
6,"16,008",FALSE,"11,547",TRUE,"2,712"
6,"16,008",TRUE,"4,461",FALSE,"3,779"
6,"16,008",TRUE,"4,461",TRUE,682
4,"15,820",FALSE,"11,511",FALSE,"8,930"
4,"15,820",FALSE,"11,511",TRUE,"2,581"
4,"15,820",TRUE,"4,309",FALSE,"3,590"
4,"15,820",TRUE,"4,309",TRUE,719
7,"15,739",FALSE,"10,193",FALSE,"7,634"
7,"15,739",FALSE,"10,193",TRUE,"2,559"
7,"15,739",TRUE,"5,546",FALSE,"4,943"
7,"15,739",TRUE,"5,546",TRUE,603
,"84,340",,,,
Arrests,"27,384",,,,
Domestic,"15,896",,,,
DA,"3,123",,,,
